text,category,macro
"In this paper, a time domain enclosure method for an inverse obstacle
scattering problem of electromagnetic wave is introduced. The wave as a
solution of Maxwell's equations is generated by an applied volumetric current
having an {\it orientation} and supported outside an unknown obstacle and
observed on the same support over a finite time interval. It is assumed that
the obstacle is a perfect conductor. Two types of analytical formulae which
employ a {\it single} observed wave and explicitly contain information about
the geometry of the obstacle are given. In particular, an effect of the
orientation of the current is catched in one of two formulae. Two corollaries
concerning with the detection of the points on the surface of the obstacle
nearest to the centre of the current support and curvatures at the points are
also given.",math.AP math-ph math.MP,math
"We prove that in dimension one the non-real eigenvalues of the non-Hermitian
Anderson (NHA) model with a selfaveraging potential are regularly spaced. The
class of selfaveraging potentials which we introduce in this paper is very wide
and in particular includes stationary potentials (with probability one) as well
as all quasi-periodic potentials. It should be emphasized that our approach
here is much simpler than the one we used before. It allows us a) to
investigate the above mentioned spacings, b) to establish certain properties of
the integrated density of states of the Hermitian Anderson models with
selfaveraging potentials, and c) to obtain (as a by-product) much simpler
proofs of our previous results concerned with non-real eigenvalues of the NHA
model.",math-ph math.MP math.SP,math
"We prove that for the Steinhaus Random Variable $z(n)$
\[\mathbb{E}\left(\left|\sum_{n\in E_{N, m}}z(n)\right|^6\right)\asymp |E_{N,
m}|^3 \text{ for } m\ll(\log\log N)^{\frac{1}{3}},\] where \[E_{N, m}:=\{1\leq
n:\Omega(n)=m\}\] and $\Omega(n)$ denotes the number of prime factors of $N$.",math.NT,math
"An upper bound is obtained on the rank of a torus which can act smoothly and
effectively on a smooth, closed, simply connected, rationally elliptic
manifold. In the maximal-rank case, the manifolds admitting such actions are
classified up to equivariant rational homotopy type.",math.DG math.GT,math
"In a recent work Levine et al. (2015) prove that the odometer function of a
divisible sandpile model on a finite graph can be expressed as a shifted
discrete bilaplacian Gaussian field. For the discrete torus, they suggest the
possibility that the scaling limit of the odometer may be related to the
continuum bilaplacian field. In this work we show that in any dimension the
rescaled odometer converges to the continuum bilaplacian field on the unit
torus.",math.PR,math
"This paper exhibits fundamental structure underlying Lie algebra homology
with coefficients in tensor products of the adjoint representation, mostly
focusing upon the case of free Lie algebras.
  The main result yields a DG category that is constructed from the PROP
associated to the Lie operad. Underlying this is a two-term complex of
bimodules over this PROP; it is a quotient of the universal Chevalley-Eilenberg
complex.
  The homology of this DG category is intimately related to outer functors over
free groups (introduced in earlier joint work with Vespa). This uses the
author's previous results relating functors on free groups to representations
of the PROP associated to the Lie operad.
  This gives a direct algebraic explanation as to why the degree one homology
should correspond to an outer functor. Hitherto, the only known argument relied
upon the relationship with the higher Hochschild homology functors that arise
from the work of Turchin and Willwacher.",math.AT,math
"In a recent article by the authors [15] it was shown that wide classes of
semilinear elliptic equations with exponential type nonlinearities admit
singular radial solutions $U$ on the punctured disc in $\mathbb R^2$ which are
also distributional solutions on the whole disc. We show here that these
solutions, taken as initial data of the associated heat equation, give rise to
non-uniqueness of mild solutions: ${u_s}(t,x) \equiv U(x)$ is a stationary
solution, and there exists also a solution ${u_r}(t,x)$ departing from $U$
which is bounded for $t > 0$. While such non-uniqueness results have been known
in higher dimensions by Ni--Sacks [33], Terraneo [40] and Galaktionov--Vazquez
[16], only two very specific results have recently been obtained in two
dimensions by Ioku--Ruf--Terraneo [22] and Ibrahim--Kikuchi--Nakanishi--Wei
[21].",math.AP,math
"Fractional spline wavelet systems are considered in the work. Molecular
structure of elements of such systems admits estimates connecting norms of
fractional integrals' images and pre--images in Besov spaces.",math.FA,math
"The curious connection between the spacings of the eigenvalues of random
matrices and the corresponding spacings of the non trivial zeros of the Riemann
zeta function is analyzed on the basis of the geometric dynamical global
program of Langlands whose fundamental structures are shifted quantized
conjugacy class representatives of bilinear algebraic semigroups.The considered
symmetry behind this phenomenology is the differential bilinear Galois
semigroup shifting the product,right by left,of automorphism semigroups of
cofunctions and functions on compact transcendental quanta.",math.GM,math
"We analyze the asymptotic behavior of a $2$-dimensional integral current
which is almost minimizing in a suitable sense at a singular point. Our
analysis is the second half of an argument which shows the discreteness of the
singular set for the following three classes of $2$-dimensional currents: area
minimizing in Riemannian manifolds, semicalibrated and spherical cross sections
of $3$-dimensional area minimizing cones.",math.AP math.DG,math
