text,category,macro
"The multisite phosphorylation-dephosphorylation cycle is a motif repeatedly
used in cell signaling. This motif itself can generate a variety of dynamic
behaviors like bistability and ultrasensitivity without direct positive
feedbacks. In this paper, we study the number of positive steady states of a
general multisite phosphorylation-dephosphorylation cycle, and how the number
of positive steady states varies by changing the biological parameters. We show
analytically that (1) for some parameter ranges, there are at least n+1 (if n
is even) or n (if n is odd) steady states; (2) there never are more than 2n-1
steady states (in particular, this implies that for n=2, including single
levels of MAPK cascades, there are at most three steady states); (3) for
parameters near the standard Michaelis-Menten quasi-steady state conditions,
there are at most n+1 steady states; and (4) for parameters far from the
standard Michaelis-Menten quasi-steady state conditions, there is at most one
steady state.",q-bio.QM q-bio.MN,q-bio
"By means of the diffusion entropy approach, we detect the scale-invariance
characteristics embedded in the 4737 human promoter sequences. The exponent for
the scale-invariance is in a wide range of $[ {0.3,0.9} ]$, which centered at
$\delta_c = 0.66$. The distribution of the exponent can be separated into left
and right branches with respect to the maximum. The left and right branches are
asymmetric and can be fitted exactly with Gaussian form with different widths,
respectively.",q-bio.OT,q-bio
"This letter reports complete sets of two-fold symmetries between partitions
of the universal genetic code. By substituting bases at each position of the
codons according to a fixed rule, it happens that properties of the degeneracy
pattern or of tRNA aminoacylation specificity are exchanged.",q-bio.OT,q-bio
"Population structure induced by both spatial embedding and more general
networks of interaction, such as model social networks, have been shown to have
a fundamental effect on the dynamics and outcome of evolutionary games. These
effects have, however, proved to be sensitive to the details of the underlying
topology and dynamics. Here we introduce a minimal population structure that is
described by two distinct hierarchical levels of interaction. We believe this
model is able to identify effects of spatial structure that do not depend on
the details of the topology. We derive the dynamics governing the evolution of
a system starting from fundamental individual level stochastic processes
through two successive meanfield approximations. In our model of population
structure the topology of interactions is described by only two parameters: the
effective population size at the local scale and the relative strength of local
dynamics to global mixing. We demonstrate, for example, the existence of a
continuous transition leading to the dominance of cooperation in populations
with hierarchical levels of unstructured mixing as the benefit to cost ratio
becomes smaller then the local population size. Applying our model of spatial
structure to the repeated prisoner's dilemma we uncover a novel and
counterintuitive mechanism by which the constant influx of defectors sustains
cooperation. Further exploring the phase space of the repeated prisoner's
dilemma and also of the ""rock-paper-scissor"" game we find indications of rich
structure and are able to reproduce several effects observed in other models
with explicit spatial embedding, such as the maintenance of biodiversity and
the emergence of global oscillations.",q-bio.PE q-bio.OT,q-bio
"Is it possible to understand cancer? Or more specifically, is it possible to
understand cancer from genetic side? There already many answers in literature.
The most optimistic one has claimed that it is mission-possible. Duesberg and
his colleagues reviewed the impressive amount of research results on cancer
accumulated over 100 years. It confirms the a general opinion that considering
all available experimental results and clinical observations there is no cancer
theory without major difficulties, including the prevailing gene-based cancer
theories. They have then listed 9 ""absolute discrepancies"" for such cancer
theory. In this letter the quantitative evidence against one of their major
reasons for dismissing mutation cancer theory, by both in vivo experiment and a
first principle computation, is explicitly pointed out.",q-bio.SC q-bio.CB,q-bio
"Annealed importance sampling is a means to assign equilibrium weights to a
nonequilibrium sample that was generated by a simulated annealing protocol. The
weights may then be used to calculate equilibrium averages, and also serve as
an ``adiabatic signature'' of the chosen cooling schedule. In this paper we
demonstrate the method on the 50-atom dileucine peptide, showing that
equilibrium distributions are attained for manageable cooling schedules. For
this system, as naively implemented here, the method is modestly more efficient
than constant temperature simulation. However, the method is worth considering
whenever any simulated heating or cooling is performed (as is often done at the
beginning of a simulation project, or during an NMR structure calculation), as
it is simple to implement and requires minimal additional CPU expense.
Furthermore, the naive implementation presented here can be improved.",q-bio.BM,q-bio
"The parsimony score of a character on a tree equals the number of state
changes required to fit that character onto the tree. We show that for
unordered, reversible characters this score equals the number of tree
rearrangements required to fit the tree onto the character. We discuss
implications of this connection for the debate over the use of consensus trees
or total evidence, and show how it provides a link between incongruence of
characters and recombination.",q-bio.PE,q-bio
"A coarse-grained computational procedure based on the Finite Element Method
is proposed to calculate the normal modes and mechanical response of proteins
and their supramolecular assemblies. Motivated by the elastic network model,
proteins are modeled as homogeneous isotropic elastic solids with volume
defined by their solvent-excluded surface. The discretized Finite Element
representation is obtained using a surface simplification algorithm that
facilitates the generation of models of arbitrary prescribed spatial
resolution. The procedure is applied to compute the normal modes of a mutant of
T4 phage lysozyme and of filamentous actin, as well as the critical Euler
buckling load of the latter when subject to axial compression. Results compare
favorably with all-atom normal mode analysis, the Rotation Translation Blocks
procedure, and experiment. The proposed methodology establishes a computational
framework for the calculation of protein mechanical response that facilitates
the incorporation of specific atomic-level interactions into the model,
including aqueous-electrolyte-mediated electrostatic effects. The procedure is
equally applicable to proteins with known atomic coordinates as it is to
electron density maps of proteins, protein complexes, and supramolecular
assemblies of unknown atomic structure.",q-bio.BM q-bio.QM,q-bio
"In this paper a theoretical model of functioning of a neural circuit during a
behavioral response has been proposed. A neural circuit can be thought of as a
directed multigraph whose each vertex is a neuron and each edge is a synapse.
It has been assumed in this paper that the behavior of such circuits is
manifested through the collective behavior of neurons belonging to that
circuit. Behavioral information of each neuron is contained in the coefficients
of the fast Fourier transform (FFT) over the output spike train. Those
coefficients form a vector in a multidimensional vector space. Behavioral
dynamics of a neuronal network in response to strong aversive stimuli has been
studied in a vector space in which a suitable pseudometric has been defined.
The neurodynamical model of network behavior has been formulated in terms of
existing memory, synaptic plasticity and feelings. The model has an analogy in
classical electrostatics, by which the notion of force and potential energy has
been introduced. Since the model takes input from each neuron in a network and
produces a behavior as the output, it would be extremely difficult or may even
be impossible to implement. But with the help of the model a possible
explanation for an hitherto unexplained neurological observation in human brain
has been offered. The model is compatible with a recent model of sequential
behavioral dynamics. The model is based on electrophysiology, but its relevance
to hemodynamics has been outlined.",q-bio.NC,q-bio
"A fast and accurate computational scheme for simulating nonlinear dynamic
systems is presented. The scheme assumes that the system can be represented by
a combination of components of only two different types: first-order low-pass
filters and static nonlinearities. The parameters of these filters and
nonlinearities may depend on system variables, and the topology of the system
may be complex, including feedback. Several examples taken from neuroscience
are given: phototransduction, photopigment bleaching, and spike generation
according to the Hodgkin-Huxley equations. The scheme uses two slightly
different forms of autoregressive filters, with an implicit delay of zero for
feedforward control and an implicit delay of half a sample distance for
feedback control. On a fairly complex model of the macaque retinal horizontal
cell it computes, for a given level of accuracy, 1-2 orders of magnitude faster
than 4th-order Runge-Kutta. The computational scheme has minimal memory
requirements, and is also suited for computation on a stream processor, such as
a GPU (Graphical Processing Unit).",q-bio.QM q-bio.NC,q-bio
