text,category,macro
"Random stepped frequency (RSF) radar, which transmits random-frequency
pulses, can suppress the range ambiguity, improve convert detection, and
possess excellent electronic counter-countermeasures (ECCM) ability [1]. In
this paper, we apply a sparse recovery method to estimate the range and Doppler
of targets. We also propose a cognitive mechanism for RSF radar to further
enhance the performance of the sparse recovery method. The carrier frequencies
of transmitted pulses are adaptively designed in response to the observed
circumstance. We investigate the criterion to design carrier frequencies, and
efficient methods are then devised. Simulation results demonstrate that the
adaptive frequency-design mechanism significantly improves the performance of
target reconstruction in comparison with the non-adaptive mechanism.",eess.SP,eess
"The problem on the Cramer-Rao Lower Bounds (CRLBs) for the joint time delay
and Doppler stretch estimation of an extended target is considered in this
paper. The integral representations of the CRLBs for both the time delay and
the Doppler stretch are derived. To facilitate computation and analysis, series
representations and approximations of the CRLBs are introduced. According to
these series representations, the impact of several waveform parameters on the
estimation accuracy is investigated, which reveals that the CRLB of the Doppler
stretch is inversely proportional to the effective time-bandwidth product of
the waveform. This conclusion generalizes a previous result in the narrowband
case. The popular wideband ambiguity function (WBAF) based delay-Doppler
estimator is evaluated and compared with the CRLBs through numerical
experiments. Our results indicate that the WBAF estimator, originally derived
from a single scatterer model, is not suitable for the parameter estimation of
an extended target.",eess.SP,eess
"This paper proposes some bounds on the maximum of magnitude of a random mask
in Fourier domain. The random mask is used in random sampling scheme. Having a
bound on the maximum value of a random mask in Fourier domain is very useful
for some iterative recovery methods that use thresholding operator. In this
paper, we propose some different bounds and compare them with the empirical
examples.",eess.SP,eess
"This paper proposes an active radio frequency (RF) cancellation solution to
suppress the transmitter (TX) passband leakage signal in radio transceivers
supporting simultaneous transmission and reception. The proposed technique is
based on creating an opposite-phase baseband equivalent replica of the TX
leakage signal in the transceiver digital front-end through adaptive nonlinear
filtering of the known transmit data, to facilitate highly accurate
cancellation under a nonlinear TX power amplifier (PA). The active RF
cancellation is then accomplished by employing an auxiliary transmitter chain,
to generate the actual RF cancellation signal, and combining it with the
received signal at the receiver (RX) low noise amplifier (LNA) input. A
closed-loop parameter learning approach, based on the decorrelation principle,
is also developed to efficiently estimate the coefficients of the nonlinear
cancellation filter in the presence of a nonlinear TX PA with memory, finite
passive isolation, and a nonlinear RX LNA. The performance of the proposed
cancellation technique is evaluated through comprehensive RF measurements
adopting commercial LTE-Advanced transceiver hardware components. The results
show that the proposed technique can provide an additional suppression of up to
54 dB for the TX passband leakage signal at the RX LNA input, even at
considerably high transmit power levels and with wide transmission bandwidths.
Such novel cancellation solution can therefore substantially improve the TX-RX
isolation, hence reducing the requirements on passive isolation and RF
component linearity, as well as increasing the efficiency and flexibility of
the RF spectrum use in the emerging 5G radio networks.",eess.SP,eess
"Visible light communication (VLC) is an emerging technique that uses
light-emitting diodes (LED) to combine communication and illumination. It is
considered as a promising scheme for indoor wireless communication that can be
deployed at reduced costs while offering high data rate performance. In this
paper, we focus on the design of the downlink of a multi-user VLC system.
Inherent to multi-user systems is the interference caused by the broadcast
nature of the medium. Linear precoding based schemes are among the most popular
solutions that have recently been proposed to mitigate inter-user interference.
This paper focuses on the design of the optimal linear precoding scheme that
solves the max-min signal-to-interference-plus-noise ratio (SINR) problem. The
performance of the proposed precoding scheme is studied under different working
conditions and compared with the classical zero-forcing precoding. Simulations
have been provided to illustrate the high gain of the proposed scheme.",eess.SP,eess
"Channel estimation and optimal training sequence design for full-duplex
one-way relays are investigated. We propose a training scheme to estimate the
residual self-interference (RSI) channel and the channels between nodes
simultaneously. A maximum likelihood estimator is implemented with
Broyden-Fletcher-Goldfarb-Shanno (BFGS) algorithm. In the presence of RSI, the
overall source-to-destination channel becomes an inter-symbol-interference
(ISI) channel. With the help of estimates of the RSI channel, the destination
is able to cancel the ISI through equalization. We derive and analyze the
Cramer-Rao bound (CRB) in closed-form by using the asymptotic properties of
Toeplitz matrices. The optimal training sequence is obtained by minimizing the
CRB. Extensions for the fundamental one-way relay model to the
frequency-selective fading channels and the multiple relays case are also
considered. For the former, we propose a training scheme to estimate the
overall channel, and for the latter the CRB and the optimal number of relays
are derived when the distance between the source and the destination is fixed.
Simulations using LTE parameters corroborate our theoretical results.",eess.SP,eess
"In contrast with traditional video, omnidirectional video enables spherical
viewing direction with support for head-mounted displays, providing an
interactive and immersive experience. Unfortunately, to the best of our
knowledge, there are few visual quality assessment (VQA) methods, either
subjective or objective, for omnidirectional video coding. This paper proposes
both subjective and objective methods for assessing quality loss in encoding
omnidirectional video. Specifically, we first present a new database, which
includes the viewing direction data from several subjects watching
omnidirectional video sequences. Then, from our database, we find a high
consistency in viewing directions across different subjects. The viewing
directions are normally distributed in the center of the front regions, but
they sometimes fall into other regions, related to video content. Given this
finding, we present a subjective VQA method for measuring difference mean
opinion score (DMOS) of the whole and regional omnidirectional video, in terms
of overall DMOS (O-DMOS) and vectorized DMOS (V-DMOS), respectively. Moreover,
we propose two objective VQA methods for encoded omnidirectional video, in
light of human perception characteristics of omnidirectional video. One method
weighs the distortion of pixels with regard to their distances to the center of
front regions, which considers human preference in a panorama. The other method
predicts viewing directions according to video content, and then the predicted
viewing directions are leveraged to allocate weights to the distortion of each
pixel in our objective VQA method. Finally, our experimental results verify
that both the subjective and objective methods proposed in this paper advance
state-of-the-art VQA for omnidirectional video.",eess.IV,eess
"Smart grid is an energy infrastructure that increases energy efficiency by
using communication infrastructure, smart meters, smart appliances, automated
control and networking, and more. This paper focuses on the Power Line
Communication (PLC) aspect and technologies used in the smart grid. There are
various challenges and advancements in the smart grid; this research discusses
how PLC can improve smart grid performance. In order to provide applicable
results, practical PLC system parameters and other required data was obtained
from Florida Power and Light (FPL). Modeling of the PLC system with different
types of digital modulations was conducted using MATLAB/Simulink software and
Python. The benefits and design tradeoffs of Amplitude Shift Keying (ASK),
Frequency Shift Keying (FSK), and Phase Shift Keying (PSK) are discussed. The
modulation schemes are compared on the basis of their applicability to a
practical PLC network by comparing the results of the simulations",eess.SP,eess
"Advances in CMOS technology have made high resolution image sensors possible.
These image sensor pose significant challenges in terms of the amount of raw
data generated, energy efficiency and frame rate. This paper presents a new
design methodology for an imaging system and a simplified novel image sensor
pixel design to be used in such system so that Compressed Sensing (CS)
technique can be implemented easily at the sensor level. This results in
significant energy savings as it not only cuts the raw data rate but also
reduces transistor count per pixel, decreases pixel size, increases fill
factor, simplifies ADC, JPEG encoder and JPEG decoder design and decreases
wiring as well as address decoder size by half. Thus CS has the potential to
increase the resolution of image sensors for a given technology and die size
while significantly decreasing the power consumption and design complexity. We
show that it has potential to reduce power consumption by about 23%-65%.",eess.IV,eess
"In time-division duplexing (TDD) systems, massive multiple-input
multiple-output (MIMO) relies on the channel reciprocity to obtain the downlink
(DL) channel state information (CSI) with the uplink (UL) CSI. In practice, the
mismatches in the radio frequency (RF) analog circuits among different antennas
at the base station (BS) break the end-to-end UL and DL channel reciprocity.
Antenna calibration is necessary to avoid the severe performance degradation
with massive MIMO. Many calibration schemes are available to compensate the RF
gain mismatches and restore the channel reciprocity in TDD massive MIMO
systems. In this paper, we focus on the internal self-calibration scheme where
different BS antennas are interconnected via hardware transmission lines.
First, we study the resulting calibration performance for an arbitrary
interconnection strategy. Next, we obtain closed-form Cramer-Rao lower bound
(CRLB) expressions for each interconnection strategy at the BS with only (M-1)
transmission lines and M denotes the total number of BS antennas. Basing on the
derived results, we further prove that the star interconnection strategy is
optimal for internal self-calibration due to its lowest CRLB. In addition, we
also put forward efficient recursive algorithms to derive the corresponding
maximum-likelihood (ML) estimates of all the calibration coefficients.
Numerical simulation results are also included to corroborate our theoretical
analyses and results.",eess.SP,eess
