text,category,macro
"We discuss the physics goals and rationale for a detector to study Beauty and
Charm decays in the forward direction at the Fermilab Tevatron Collider. We
then describe the BTeV detector which has been designed to achieve these goals
and present its physics reach based on extensive simulation. We conclude by
comparing BTeV to other experiments designed to explore similar topics.",hep-ex,physics
"We show that adsorbates on surfaces can form islands even if there are no
attractive interactions. Instead strong repulsion between adsorbates at short
distances can lead to islands, because such islands increase the entropy of the
adsorbates that are not part of the islands. We suggest that this mechanism
cause the observed island formation in O/Pt(111), but it may be important for
many other systems as well.",cond-mat.stat-mech cond-mat.mtrl-sci,physics
"Aims. We aim to derive the chemical pattern of the young clusters 25 Orionis
and lambda Orionis through homogeneous and accurate measurements of elemental
abundances. Methods. We present FLAMES/UVES observations of a sample of 14
K-type targets in the 25 Ori and lambda Ori clusters; we measure their radial
velocities, in order to confirm cluster membership. We derive stellar
parameters and abundances of Fe, Na, Al, Si, Ca, Ti, and Ni using the code
MOOG. Results. All the 25 Ori stars are confirmed cluster members without
evidence of binarity; in lambda Ori we identify one non-member and one
candidate single-lined binary star. We find an average metallicity
[Fe/H]=-0.05+/-0.05 for 25 Ori, where the error is the 1sigma standard
deviation from the average. lambda Ori members have a mean iron abundance value
of 0.01+/-0.01. The other elements show close-to-solar ratios and no
star-to-star dispersion. Conclusions. Our results, along with previous
metallicity determinations in the Orion complex, evidence a small but
detectable dispersion in the [Fe/H] distribution of the complex. This appears
to be compatible with large-scale star formation episodes and initial
non-uniformity in the pre-cloud medium. We show that, as expected, the
abundance distribution of star forming regions is consistent with the chemical
pattern of the Galactic thin disk.",astro-ph.SR,physics
"Due to the resemblance between Maxwell and the gravitomagnetic equations
obtained in the weak field and slow motion limit of General Relativity, one can
ask if it is possible to amplify a seed intrinsic rotation or spin motion by a
gravitomagetic dynamo, in analogy with the well-known dynamo effect. Using the
Galilean limits of the gravitomagnetic equations, the answer to this question
is negative, due to the fact that a ""magnetic"" Galilean limit for the
gravitomagnetic equations is physically inconsistent.",gr-qc,physics
"We give an expression for the Lindblad torque acting on a low-mass planet
embedded in a protoplanetary disk that is valid even at locations where the
surface density or temperature profile cannot be approximated by a power law,
such as an opacity transition. At such locations, the Lindblad torque is known
to suffer strong deviation from its standard value, with potentially important
implications for type I migration, but the full treatment of the tidal
interaction is cumbersome and not well suited to models of planetary population
synthesis. The expression that we propose retains the simplicity of the
standard Lindblad torque formula and gives results that accurately reproduce
those of numerical simulations, even at locations where the disk temperature
undergoes abrupt changes. Our study is conducted by means of customized
numerical simulations in the low-mass regime, in locally isothermal disks, and
compared to linear torque estimates obtained by summing fully analytic torque
estimates at each Lindblad resonance. The functional dependence of our modified
Lindblad torque expression is suggested by an estimate of the shift of the
Lindblad resonances that mostly contribute to the torque, in a disk with sharp
gradients of temperature or surface density, while the numerical coefficients
of the new terms are adjusted to seek agreement with numerics. As side results,
we find that the vortensity related corotation torque undergoes a boost at an
opacity transition that can counteract migration, and we find evidence from
numerical simulations that the linear corotation torque has a non-negligible
dependency upon the temperature gradient, in a locally isothermal disk.",astro-ph.EP,physics
"Large masses of absorbing material are inferred to exist in cooling flows in
clusters of galaxies from the excess X-ray absorption in the spectra of some
X-ray clusters. The absorbing material is probably in the form of cold clouds
pressure-confined by the surrounding, hot, X-ray emitting gas. The cold clouds
could remain relatively static until they are destroyed by evaporation or
ablation, or give rise to star formation. If the final fate of the clouds is
stars, the IMF of the stars formed over the whole cooling flow region ($r \sim
100$ kpc) should be biased to low masses, to avoid a very luminous, blue halo
for the central galaxy of the cooling flow. However, there is evidence for
bright star formation in the innermost (r < 10 kpc) regions of some cooling
flows, and, therefore, the biasing of the IMF towards low masses should not
occur or be less important at smaller radii. The consideration of magnetic
fields may shed light on these two points. If magnetic fields are present, the
magnetic critical mass should be considered, besides the Jeans mass, in
establishing a natural mass scale for star formation. When this new mass scale
is taken into account, we obtain the right variation of the biasing of the IMF
with the radius in addition to inhibition of high-mass star formation at large
radii. We also demonstrate that magnetic reconnection is a efficient than
ambipolar diffusion in removing magnetic fields in cold clouds.",astro-ph,physics
"Direct Dark Matter detection with cryodetectors is briefly discussed, with
particular mention of the possibility of the identification of the recoil
nucleus. Preliminary results from the CREEST II Dark Matter search, with 730
kg-days of data, are presented. Major backgrounds and methods of identifying
and dealing with them are indicated.",astro-ph.CO astro-ph.IM,physics
"A search is conducted for new physics in final states containing a photon and
missing transverse momentum in proton-proton collisions at $\sqrt{s} =$ 13 TeV,
using the data collected in 2016 by the CMS experiment at the LHC,
corresponding to an integrated luminosity of 35.9 fb$^{-1}$. No deviations from
the predictions of the standard model are observed. The results are interpreted
in the context of dark matter production and models containing extra spatial
dimensions, and limits on new physics parameters are calculated at 95%
confidence level. For the two simplified dark matter production models
considered, the observed (expected) lower limits on the mediator masses are
both 950 (1150) GeV for 1 GeV dark matter mass. For an effective
electroweak-dark matter contact interaction, the observed (expected) lower
limit on the suppression parameter $\Lambda$ is 850 (950) GeV. Values of the
effective Planck scale up to 2.85-2.90 TeV are excluded for between 3 and 6
extra spatial dimensions.",hep-ex,physics
"Tomography has made a radical impact on diverse fields ranging from the study
of 3D atomic arrangements in matter to the study of human health in medicine.
Despite its very diverse applications, the core of tomography remains the same,
that is, a mathematical method must be implemented to reconstruct the 3D
structure of an object from a number of 2D projections. In many scientific
applications, however, the number of projections that can be measured is
limited due to geometric constraints, tolerable radiation dose and/or
acquisition speed. Thus it becomes an important problem to obtain the
best-possible reconstruction from a limited number of projections. Here, we
present the mathematical implementation of a tomographic algorithm, termed
GENeralized Fourier Iterative REconstruction (GENFIRE). By iterating between
real and reciprocal space, GENFIRE searches for a global solution that is
concurrently consistent with the measured data and general physical
constraints. The algorithm requires minimal human intervention and also
incorporates angular refinement to reduce the tilt angle error. We demonstrate
that GENFIRE can produce superior results relative to several other popular
tomographic reconstruction techniques by numerical simulations, and by
experimentally by reconstructing the 3D structure of a porous material and a
frozen-hydrated marine cyanobacterium. Equipped with a graphical user
interface, GENFIRE is freely available from our website and is expected to find
broad applications across different disciplines.",physics.comp-ph physics.med-ph,physics
"In this paper we explore the correspondence between four-dimensional
Born-Infeld theory and five-dimensional classical gravity. The Born-Infeld
theory side corresponds to the low energy effective theory for open strings
ending on coincident D3-branes in a (slowly varying) background Kalb-Ramond
field, including all higher-derivative corrections. On the gravity side one has
the gravitational (closed string) description of D3-branes in the same
background Kalb-Ramond field and the correspondence is thus a consequence of
the open/closed string duality. According to the correspondence the gravity
side provides a description of the strong coupling limit of Born-Infeld theory.
This is a correspondence between effective theories in a similar sense as in
the fluid/gravity correspondence. We match the Born-Infeld and gravity sides up
to, and including, two-derivative corrections. To this end, we find a new
gravity solution for D3-branes with flat embedding in the background of an
arbitrary constant background Kalb-Ramond field and show that there are no
two-derivative corrections to this for a slowly varying Kalb-Ramond field.",hep-th,physics
"We develop in full detail the formalism of tangent states to the manifold of
matrix product states, and show how they naturally appear in studying
time-evolution, excitations and spectral functions. We focus on the case of
systems with translation invariance in the thermodynamic limit, where momentum
is a well defined quantum number. We present some new illustrative results and
discuss analogous constructions for other variational classes. We also discuss
generalizations and extensions beyond the tangent space, and give a general
outlook towards post matrix product methods.",quant-ph cond-mat.str-el,physics
"We have investigated the properties of the stellar mass function in the
globular cluster NGC6397 using a large set of HST observations that include
WFPC2 images in V and I, obtained at ~4' and 10' radial distances, and a series
of deep images in the J and H bands obtained with the NIC2 and NIC3 cameras of
NICMOS pointed to regions located ~4.5' and ~3.2' from the center. These
observations span the region from ~1 to ~3 times the cluster's half-light
radius. All luminosity functions, derived from color magniutde diagrams,
increase with decreasing luminosity up to a peak at M_I~8.5 or M_H~7 and then
precipitously drop well before photometric incompleteness becomes significant.
Within the observational uncertainties, at M_I~12 or M_H~10.5 (~0.09 Msun) the
luminosity functions are compatible with zero. By applying the best available
mass- luminosity relation appropriate to the metallicity of NGC6397 to both the
optical and IR data, we obtain a mass function that shows a break in slope at
\~0.3 Msun. No single exponent power-law distribution is compatible with these
data, regardless of the value of the exponent. We find that a dynamical model
of the cluster can simultaneously reproduce all the luminosity functions
observed throughout the cluster only if the IMF rises as m**-1.6 in the range
0.8-0.3 Msun and then drops as m**0.2 below ~0.3 Msun. Adopting a more physical
log-normal distribution for the IMF, all these data taken together imply a best
fit distribution with characteristic mass m_c~0.3 and sigma~1.8.",astro-ph,physics
"We search, in the context of extra-dimension scenarios, for the possible
existence of brane fluctuations, called branons. Events with a single photon or
a single Z-boson and missing energy and momentum collected with the L3 detector
in e^+ e^- collisions at centre-of-mass energies sqrt{s}=189-209$ GeV are
analysed. No excess over the Standard Model expectations is found and a lower
limit at 95% confidence level of 103 GeV is derived for the mass of branons,
for a scenario with small brane tensions. Alternatively, under the assumption
of a light branon, brane tensions below 180 GeV are excluded.",hep-ex,physics
"We describe a simple real space renormalization group technique for two
dimensional classical lattice models. The approach is similar in spirit to
block spin methods, but at the same time it is fundamentally based on the
theory of quantum entanglement. In this sense, the technique can be thought of
as a classical analogue of DMRG. We demonstrate the method - which we call the
tensor renormalization group method - by computing the magnetization of the
triangular lattice Ising model.",cond-mat.stat-mech quant-ph,physics
"The collinear factorization theorem, combined with finite-order calculations
in perturbative QCD, provides a powerful framework to obtain predictions for
many collider observables. However, for observables which involve multiple
energy scales, transverse degrees of freedom cannot be neglected, and
finite-order perturbative calculations have to be combined with resummed
calculations to all orders in the QCD running coupling in order to obtain
reliable theoretical predictions, capable of describing experimental
measurements. This is traditionally done either by analytic resummation methods
or by parton shower (PS) Monte Carlo (MC) methods. In this talk we present the
Parton Branching (PB) MC method to obtain QCD collider predictions based on
Transverse Momentum Dependent (TMD) factorization. The PB provides evolution
equations for TMD Parton Distribution Functions (PDFs) which, upon fitting TMD
PDFs to experimental data, can be used in TMD MC event generators. We present
the basic concepts of the method and illustrate its applications to collider
measurements focusing on Drell-Yan (DY) lepton-pair production in different
kinematic ranges, from fixed-target to LHC energies. We discuss the latest
developments of the method concentrating especially on the matching of
next-to-leading-order (NLO) TMD evolution with MC-at-NLO calculations of NLO
matrix elements.",hep-ph,physics
"We report on X-ray, optical, infrared and radio observations of the X-ray dim
isolated neutron star (XDINS) 1RXS J214303.7+065419 (also known as RBS 1774).
The X-ray observation was performed with the High Resolution Camera on board of
the Chandra X-ray Observatory, allowing us to derive the most accurate position
for this source (alpha = 21h43m3.38s, delta= +6deg54'17"".53; 90% uncertainty of
0.""6). Furthermore, we confirmed with a higher spatial accuracy the point-like
nature of this X-ray source. Optical and infrared observations were taken in B,
V, r', i', J, H and Ks filters using the Keck, VLT, Blanco and Magellan
telescopes, while radio observations were obtained from the ATNF Parkes single
dish at 2.9GHz and 708MHz. No plausible optical and/or infrared counterpart for
RBS 1774 was detected within the refined sub-arsecond Chandra X-ray error
circle. Present upper limits to the optical and infrared magnitudes are r'>25.7
and J>22.6 (5 sigma confidence level). Radio observations did not show evidence
for radio pulsations down to a luminosity at 1.4 GHz of L < 0.02 mJy kpc^2, the
deepest limit up to date for any XDINS, and lower than what expected for the
majority of radio pulsars. We can hence conclude that, if RBS 1774 is active as
radio pulsar, its non detection is more probably due to a geometrical bias
rather than to a luminosity bias. Furthermore, no convincing evidence for
RRAT-like radio bursts have been found. Our results on RBS 1774 are discussed
and compared with the known properties of other thermally emitting neutron
stars and of the radio pulsar population.",astro-ph,physics
"We assess two different non-equilibrium quantum Landauer bounds: the
traditional approach based on the change in entropy, referred to as the
`entropic bound', and one based on the details of the dynamical map, referred
to as the `thermodynamic bound'. By first restricting to a simple exactly
solvable model of a single two level system coupled to a finite dimensional
thermal environment and by exploiting an excitation preserving interaction, we
establish the dominant role played by the population terms in dictating the
tightness of these bounds with respect to the dissipated heat, and clearly
establish that coherences only affect the entropic bound. Furthermore, we show
that sharp boundaries between the relative performance of the two quantities
emerge, and find that there are clear instances where both approaches return a
bound weaker than Clausius' statement of the second law, rendering them
ineffective. Finally we show that our results extend to generic interaction
terms.",quant-ph cond-mat.stat-mech,physics
"We present the software library libCreme which we have previously used to
successfully calculate convex-roof entanglement measures of mixed quantum
states appearing in realistic physical systems. Evaluating the amount of
entanglement in such states is in general a non-trivial task requiring to solve
a highly non-linear complex optimization problem. The algorithms provided here
are able to achieve to do this for a large and important class of entanglement
measures. The library is mostly written in the Matlab programming language, but
is fully compatible to the free and open-source Octave platform. Some
inefficient subroutines are written in C/C++ for better performance. This
manuscript discusses the most important theoretical concepts and workings of
the algorithms, focussing on the actual implementation and usage within the
library. Detailed examples in the end should make it easy for the user to apply
libCreme to specific problems.",quant-ph cond-mat.mes-hall,physics
"We argue that asymptotically linear static potential is built in into the
common procedure of extracting it from lattice Wilson loop measurements. To
illustrate the point, we extract the potential by the standard lattice method
in a model vacuum made of instantons. A beautiful infinitely rising linear
potential is obtained in the case where the true potential is actually
flattening. We argue that the flux tube formation might be also an artifact of
the lattice procedure and not necessarily a measured physical effect.
  We conclude that at present the rising potential is known for sure up to no
more than about 0.7 fm. It may explain why no screening has been clearly
observed so far for adjoint sources and for fundamental sources but with
dynamical fermions.
  Finally, we speculate on how confinement could be achieved even if the static
potential in the pure glue theory is not infinitely rising.",hep-lat hep-ph,physics
"Atmospheres regulate the planetary heat loss and therefore influence
planetary thermal evolution. Uncertainty in a giant planet's thermal state
contributes to the uncertainty in the inferred abundance of heavy elements it
contains. Within an analytic atmosphere model, we here investigate the
influence that different cloud opacities and cloud depths can have on the
metallicity of irradiated extrasolar gas giants, which is inferred from
interior models. In this work, the link between inferred metallicity and
assumed cloud properties is the thermal profile of atmosphere and interior.
Therefore, we perform coupled atmosphere, interior, and evolution calculations.
The atmosphere model includes clouds in a much simplified manner; it includes
long-wave absorption but neglects shortwave scattering. Within that model, we
show that optically thick, high clouds have negligible influence, whereas
deep-seated, optically very thick clouds can lead to warmer deep tropospheres
and therefore higher bulk heavy element mass estimates. For the young hot
Jupiter WASP-10b, we find a possible enhancement in inferred metallicity of up
to 10% due to possible silicate clouds at $\sim$0.3 bar. For WASP-39b, whose
observationally derived metallicity is higher than predicted by cloudless
models, we find an enhancement by at most 50%. However, further work on cloud
properties and their self-consistent coupling to the atmospheric structure is
needed in order to reduce uncertainties in the choice of model parameter
values, in particular of cloud opacities.",astro-ph.EP,physics
"In solid acid solid electrolytes CsH$_2$PO$_4$ and CsHSO$_4$, mechanisms of
fast proton conduction have long been debated and attributed to either local
proton hopping or polyanion rotation. However, the precise role of polyanion
rotation and its interplay with proton hopping remained unclear.
Nanosecond-scale molecular dynamics simulations, driven by equivariant neural
network force fields, reveal a nuanced proton slingshot mechanism: protons are
initially carried by rotating polyanions, followed by O$-$H bond reorientation,
and the combined motion enables long-range jumps. This challenges the
conventional revolving paddlewheel model and reveals significant independent
proton motion that is assisted by limited rotations. Despite structural
similarities, we identify qualitative differences in transport mechanisms
between CsH$_2$PO$_4$ and CsHSO$_4$, caused by different proton concentrations.
CsH$_2$PO$_4$ exhibits two distinct rates of rotational motions with different
activation energies, contrasting with CsHSO$_4$'s single-rate behavior. The
higher proton concentration in CsH$_2$PO$_4$ correlates with frustrated PO$_4$
polyanion orientations and slower rotations compared to SO$_4$ in CsHSO$_4$.
Additionally, we reveal a correlation between O-sharing and proton transport in
CsH$_2$PO$_4$, a unique feature due to extra proton per polyanion compared to
CsHSO$_4$. Our findings suggest that reducing proton concentration could
accelerate rotations and enhance conductivity. This work provides a unified
framework for understanding and optimizing ionic mobility in solid-acid
compounds, offering new insights into the interplay between proton hopping and
disordered dynamics in polyanion rotation.",cond-mat.mtrl-sci physics.chem-ph,physics
"Context: NASA recently announced an extended mission for TESS. As a result it
is expected that the southern ecliptic hemisphere will be re-observed
approximately two years after the initial survey. Aims: We aim to explore how
TESS re-observing the southern ecliptic hemisphere will impact the number and
distribution of mono-transits discovered during the first year of observations.
This simulation will be able to be scaled to any future TESS re-observations.
Methods: We carry out an updated simulation of TESS detections in the southern
ecliptic hemisphere. This simulation includes realistic Sector window-functions
based on the first 11 sectors of SPOC 2 min SAP lightcurves. We then extend
this simulation to cover the expected Year 4 of the mission when TESS will
re-observed the southern ecliptic fields. For recovered monotransits we also
look at the possibility of predicting the period based on the coverage in the
TESS data. Results: We find an updated prediction of 339 monotransits from the
TESS Year 1 southern ecliptic hemisphere, and that approximately 80% of these
systems (266/339) will transit again in the Year 4 observations. The Year 4
observations will also contribute new monotransits not seen in Year 1,
resulting in a total of 149 monotransits from the combined Year 1 and Year 4
data sets. We find that 75% (189/266) of recovered Year 1 monotransits will
only transit once in the Year 4 data set. For these systems we will be able to
constrain possible periods, but period aliasing due to the large time gap
between Year 1 and Year 4 observations means that the true period will remain
unknown with further spectroscopic or photometric follow-up.",astro-ph.EP,physics
"In this work we investigated the phase behavior of melts of block-copolymers
with one charged block by means of dissipative particle dynamics with explicit
electrostatic interactions. We assumed that all the Flory-Huggins \c{hi}
parameters were equal to 0 and showed that the charge correlation attraction
solely can cause microphase separation with long-range order; a phase diagram
was constructed by varying the volume fraction of the uncharged block and the
electrostatic interaction parameter {\lambda}. The obtained phase diagram was
compared to the phase diagram of corresponding neutral diblock-copolymers.
Surprisingly, the differences between these phase diagrams are rather subtle;
the same phases are observed, and the positions of the ODT points are similar
if the {\lambda}-parameter is considered as an ""effective"" \c{hi}-parameter.
Next, we studied the position of the ODT for lamellar structure depending on
the chain length N. It turned out that while for the uncharged
diblock-copolymer the product \c{hi}crN was almost independent of N, for the
diblock-copolymers with one charged block we observed a significant increase in
{\lambda}crN upon increasing N. It can be attributed to the fact that the
counterion entropy prevents the formation of ordered structures. This was
supported by studying the ODT in diblock-copolymers with charged blocks and
counterions cross-linked to the charged monomer units. The ODT for such systems
was observed at significantly lower values of {\lambda} with the difference
being more pronounced at longer chain lengths N. The diffusion of counterions
in the obtained ordered structures was studied and compared to the case of a
system with the same number of charged groups but homogeneous structure; the
diffusion coefficient in a direction in the lamellar plane was found to be
higher than in any direction in homogeneous structure.",cond-mat.soft,physics
"Previously, graphene nanoribbons set in lateral heterostructures with
hexagonal boron nitride were predicted to support topologically protected
states at low energy. We investigate how robust the transport properties of
these states are against lattice disorder. We find that forms of disorder that
do not couple the two valleys of the zigzag graphene nanoribbon do not impact
the transport properties at low bias, indicating that these lateral
heterostructures are very promising candidates for chip-scale conducting
interconnects. Forms of disorder that do couple the two valleys, such as
vacancies in the graphene ribbon, or substantial inclusions of armchair edges
at the graphene-hexagonal boron nitride interface will negatively affect the
transport. However, these forms of disorder are not commonly seen in current
experiments.",cond-mat.mes-hall,physics
"We study collective modes of superfluid Bose gases in optical lattices
combined with potential barriers. We assume that the system is in the vicinity
of the quantum phase transition to a Mott insulator at a commensurate filling,
where emergent particle-hole symmetry gives rise to two types of collective
mode, namely a gapless Nambu-Goldstone (NG) phase mode and a gapful Higgs
amplitude mode. We consider two kinds of potential barrier: One does not break
the particle-hole symmetry while the other does. In the presence of the former
barrier, we find Higgs bound states that have binding energies lower than the
bulk Higgs gap and are localized around the barrier. We analyze tunneling
properties of the NG mode incident to both barriers to show that the latter
barrier couples the Higgs bound states with the NG mode, leading to Fano
resonance mediated by the bound states. Thanks to the universality of the
underlying field theory, it is expected that Higgs bound states may be present
also in other condensed matter systems with a particle-hole symmetry and
spontaneous breaking of a continuous symmetry, such as quantum dimer
antiferromagnets, superconductors, and charge-density-wave materials.",cond-mat.quant-gas cond-mat.str-el cond-mat.supr-con,physics
"We present the first security analysis of conference key agreement (CKA) in
the most adversarial model of device independence (DI). Our protocol can be
implemented {by any experimental setup} that is capable of performing Bell
tests (specifically, we introduce the ""Parity-CHSH"" inequality), and security
can in principle be obtained for any violation of the Parity-CHSH inequality.
We use a direct connection between the $N$-partite Parity-CHSH inequality and
the CHSH inequality. Namely, the Parity-CHSH inequality can be considered as a
CHSH inequality or another CHSH inequality (equivalent up to relabelling)
depending on the parity of the output of $N-2$ of the parties. We compare the
asymptotic key rate for DICKA to the case where the parties use $N-1$ DIQKD
protocols in order to generate a common key. We show that for some regime of
noise the DICKA protocol leads to better rates.",quant-ph,physics
